07/15 03:54:39PM parser.py:28 [INFO] 
07/15 03:54:39PM parser.py:29 [INFO] Parameters:
07/15 03:54:39PM parser.py:31 [INFO] ADVANCED=True
07/15 03:54:39PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 03:54:39PM parser.py:31 [INFO] CIFAR=True
07/15 03:54:39PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 03:54:39PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 03:54:39PM parser.py:31 [INFO] DATASET=cifar100
07/15 03:54:39PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 03:54:39PM parser.py:31 [INFO] EPOCHS=50
07/15 03:54:39PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] GPUS=[0]
07/15 03:54:39PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 03:54:39PM parser.py:31 [INFO] LR=0.001
07/15 03:54:39PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 03:54:39PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 03:54:39PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 03:54:39PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 03:54:39PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] PRETRAINED=True
07/15 03:54:39PM parser.py:31 [INFO] SAVE=pretrained
07/15 03:54:39PM parser.py:31 [INFO] SEED=0
07/15 03:54:39PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 03:54:39PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 03:54:39PM parser.py:31 [INFO] WORKERS=4
07/15 03:54:39PM parser.py:32 [INFO] 
07/15 03:54:40PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 04:16:33午後 trainTeacher_main.py:209 [INFO] Train: [ 34/49] Final Prec@1 95.7044%
07/15 04:16:34午後 trainTeacher_main.py:237 [INFO] Valid: [ 34/49] Final Prec@1 83.4400%
07/15 04:16:34午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:17:11午後 trainTeacher_main.py:209 [INFO] Train: [ 35/49] Final Prec@1 95.7311%
07/15 04:17:12午後 trainTeacher_main.py:237 [INFO] Valid: [ 35/49] Final Prec@1 82.6600%
07/15 04:17:12午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:17:48午後 trainTeacher_main.py:209 [INFO] Train: [ 36/49] Final Prec@1 95.8800%
07/15 04:17:49午後 trainTeacher_main.py:237 [INFO] Valid: [ 36/49] Final Prec@1 83.3000%
07/15 04:17:49午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:18:26午後 trainTeacher_main.py:209 [INFO] Train: [ 37/49] Final Prec@1 95.9956%
07/15 04:18:27午後 trainTeacher_main.py:237 [INFO] Valid: [ 37/49] Final Prec@1 83.2000%
07/15 04:18:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:19:03午後 trainTeacher_main.py:209 [INFO] Train: [ 38/49] Final Prec@1 96.0467%
07/15 04:19:04午後 trainTeacher_main.py:237 [INFO] Valid: [ 38/49] Final Prec@1 83.4200%
07/15 04:19:04午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:19:41午後 trainTeacher_main.py:209 [INFO] Train: [ 39/49] Final Prec@1 96.2022%
07/15 04:19:42午後 trainTeacher_main.py:237 [INFO] Valid: [ 39/49] Final Prec@1 83.1200%
07/15 04:19:42午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:20:18午後 trainTeacher_main.py:209 [INFO] Train: [ 40/49] Final Prec@1 96.5556%
07/15 04:20:19午後 trainTeacher_main.py:237 [INFO] Valid: [ 40/49] Final Prec@1 83.2400%
07/15 04:20:19午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:20:55午後 trainTeacher_main.py:209 [INFO] Train: [ 41/49] Final Prec@1 96.4511%
07/15 04:20:57午後 trainTeacher_main.py:237 [INFO] Valid: [ 41/49] Final Prec@1 83.3000%
07/15 04:20:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:21:33午後 trainTeacher_main.py:209 [INFO] Train: [ 42/49] Final Prec@1 96.5133%
07/15 04:21:34午後 trainTeacher_main.py:237 [INFO] Valid: [ 42/49] Final Prec@1 83.1800%
07/15 04:21:34午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
