07/15 04:30:48PM parser.py:28 [INFO] 
07/15 04:30:48PM parser.py:29 [INFO] Parameters:
07/15 04:30:48PM parser.py:31 [INFO] ADVANCED=True
07/15 04:30:48PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 04:30:48PM parser.py:31 [INFO] CIFAR=True
07/15 04:30:48PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 04:30:48PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 04:30:48PM parser.py:31 [INFO] DATASET=cifar100
07/15 04:30:48PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 04:30:48PM parser.py:31 [INFO] EPOCHS=50
07/15 04:30:48PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] GPUS=[0]
07/15 04:30:48PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 04:30:48PM parser.py:31 [INFO] LR=0.001
07/15 04:30:48PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 04:30:48PM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/15 04:30:48PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 04:30:48PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 04:30:48PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] PRETRAINED=True
07/15 04:30:48PM parser.py:31 [INFO] SAVE=pretrained
07/15 04:30:48PM parser.py:31 [INFO] SEED=0
07/15 04:30:48PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 04:30:48PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 04:30:48PM parser.py:31 [INFO] WORKERS=4
07/15 04:30:48PM parser.py:32 [INFO] 
07/15 04:30:54PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 05:10:01午後 trainTeacher_main.py:237 [INFO] Valid: [ 34/49] Final Prec@1 85.4600%
07/15 05:10:01午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.8800%
07/15 05:11:06午後 trainTeacher_main.py:209 [INFO] Train: [ 35/49] Final Prec@1 99.0422%
07/15 05:11:08午後 trainTeacher_main.py:237 [INFO] Valid: [ 35/49] Final Prec@1 85.6800%
07/15 05:11:08午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.8800%
07/15 05:12:13午後 trainTeacher_main.py:209 [INFO] Train: [ 36/49] Final Prec@1 99.1222%
07/15 05:12:15午後 trainTeacher_main.py:237 [INFO] Valid: [ 36/49] Final Prec@1 85.0800%
07/15 05:12:15午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.8800%
07/15 05:13:20午後 trainTeacher_main.py:209 [INFO] Train: [ 37/49] Final Prec@1 99.1800%
07/15 05:13:22午後 trainTeacher_main.py:237 [INFO] Valid: [ 37/49] Final Prec@1 85.1600%
07/15 05:13:22午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.8800%
07/15 05:14:27午後 trainTeacher_main.py:209 [INFO] Train: [ 38/49] Final Prec@1 99.1133%
07/15 05:14:29午後 trainTeacher_main.py:237 [INFO] Valid: [ 38/49] Final Prec@1 85.3800%
07/15 05:14:29午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.8800%
07/15 05:15:34午後 trainTeacher_main.py:209 [INFO] Train: [ 39/49] Final Prec@1 99.1511%
07/15 05:15:36午後 trainTeacher_main.py:237 [INFO] Valid: [ 39/49] Final Prec@1 86.0800%
07/15 05:15:36午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.0800%
07/15 05:16:41午後 trainTeacher_main.py:209 [INFO] Train: [ 40/49] Final Prec@1 99.2044%
07/15 05:16:43午後 trainTeacher_main.py:237 [INFO] Valid: [ 40/49] Final Prec@1 85.7600%
07/15 05:16:43午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.0800%
07/15 05:17:48午後 trainTeacher_main.py:209 [INFO] Train: [ 41/49] Final Prec@1 99.2467%
07/15 05:17:50午後 trainTeacher_main.py:237 [INFO] Valid: [ 41/49] Final Prec@1 85.8800%
07/15 05:17:50午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.0800%
07/15 05:18:55午後 trainTeacher_main.py:209 [INFO] Train: [ 42/49] Final Prec@1 99.2556%
07/15 05:18:57午後 trainTeacher_main.py:237 [INFO] Valid: [ 42/49] Final Prec@1 86.2400%
07/15 05:18:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:20:02午後 trainTeacher_main.py:209 [INFO] Train: [ 43/49] Final Prec@1 99.2378%
07/15 05:20:04午後 trainTeacher_main.py:237 [INFO] Valid: [ 43/49] Final Prec@1 86.1200%
07/15 05:20:04午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:21:09午後 trainTeacher_main.py:209 [INFO] Train: [ 44/49] Final Prec@1 99.2778%
07/15 05:21:11午後 trainTeacher_main.py:237 [INFO] Valid: [ 44/49] Final Prec@1 86.0000%
07/15 05:21:11午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:22:16午後 trainTeacher_main.py:209 [INFO] Train: [ 45/49] Final Prec@1 99.2933%
07/15 05:22:18午後 trainTeacher_main.py:237 [INFO] Valid: [ 45/49] Final Prec@1 86.0000%
07/15 05:22:18午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:23:23午後 trainTeacher_main.py:209 [INFO] Train: [ 46/49] Final Prec@1 99.3267%
07/15 05:23:25午後 trainTeacher_main.py:237 [INFO] Valid: [ 46/49] Final Prec@1 85.9200%
07/15 05:23:25午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:24:30午後 trainTeacher_main.py:209 [INFO] Train: [ 47/49] Final Prec@1 99.2978%
07/15 05:24:32午後 trainTeacher_main.py:237 [INFO] Valid: [ 47/49] Final Prec@1 86.1400%
07/15 05:24:32午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:25:37午後 trainTeacher_main.py:209 [INFO] Train: [ 48/49] Final Prec@1 99.3022%
07/15 05:25:39午後 trainTeacher_main.py:237 [INFO] Valid: [ 48/49] Final Prec@1 85.8800%
07/15 05:25:39午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:26:44午後 trainTeacher_main.py:209 [INFO] Train: [ 49/49] Final Prec@1 99.3689%
07/15 05:26:46午後 trainTeacher_main.py:237 [INFO] Valid: [ 49/49] Final Prec@1 85.8400%
07/15 05:26:46午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 86.2400%
07/15 05:26:46午後 trainTeacher_main.py:181 [INFO] Final best Prec@1 = 86.2400%
