エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
46,0.5281199813,0.5303120017,0.5303600073,0.5308240056,0.5234799981,0.5337679863,0.5291279912,0.497608006,0.5332719922,0.5377999902,0.5261439919,0.5310400009,0.5319679976,0.52763201,0.5300080061,0.5131039977,0.05532000028,0.5318080008,0.5041719973,0.4695839971,0.5059999973,0.5099519968,0.505647999,0.5325760126,0.529159987
47,0.5319440007,0.5255920053,0.5295120001,0.5271119952,0.5247280002,0.5330000043,0.5305520058,0.5000879943,0.5324319959,0.5345040083,0.5361199975,0.5299440026,0.5260400057,0.5298720002,0.5255920053,0.5071839988,0.09631199837,0.5347720027,0.5082359999,0.4721919984,0.5055399925,0.5046880037,0.5088480055,0.5273759961,0.4418560073
48,0.5307759881,0.531520009,0.5364639878,0.5304240108,0.5335279822,0.5361279964,0.5310400009,0.4990560055,0.5292879939,0.5345199943,0.5396719933,0.5348639846,0.5334399939,0.5304319859,0.5293120027,0.3851199955,0.0584800005,0.5353280008,0.5071360022,0.4708319932,0.504520005,0.5070999891,0.5069080025,0.5352719903,0.4533120081
49,0.5354560018,0.5359439969,0.5397519946,0.5404000044,0.5386319995,0.5381440043,0.5324720025,0.5035999954,0.540328002,0.5445039868,0.5379199982,0.5327439904,0.5365839839,0.5382319927,0.5319360018,0.5175359905,0.2356479928,0.5343959868,0.5068120062,0.4711479992,0.5084399998,0.5093279988,0.5078880072,0.5347039938,0.4674800038
50,0.5293599844,0.5332560062,0.5402879834,0.5375680089,0.5311040044,0.5345039845,0.5365760088,0.4911040008,0.5372400045,0.5349839926,0.5345919967,0.5361439943,0.5355439901,0.5371680021,0.5357839942,0.5104080021,0.2108719986,0.5351879835,0.5117719948,0.4770799965,0.5115440041,0.5108039945,0.513891995,0.531551981,0.466952002
51,0.4054799914,0.4022799909,0.4053599954,0.4158799946,0.4072799921,0.4150399864,0.2627599925,0.1381199941,0.4110400021,0.4117999852,0.4161999941,0.4053199947,0.408679986,0.4032399893,0.3600799918,0.1141599998,0.04823999964,0.4934599876,0.4641199946,0.424819994,0.1666759945,0.4829599917,0.1510599971,0.5316960096,0.4725919902
52,0.4385199964,0.4370399892,0.4399199843,0.4431199968,0.444479996,0.4366399944,0.3385599971,0.2004799962,0.4394399941,0.4679999888,0.4415599883,0.4315199912,0.419479996,0.4343199909,0.4001199901,0.1886399955,0.1120799992,0.5088199943,0.4877399892,0.4482799888,0.2364359975,0.4979199976,0.2155999973,0.533303988,0.4787200153
53,0.4604799867,0.4598399878,0.4565999925,0.4567599952,0.461439991,0.4531599879,0.3740399897,0.2397599965,0.4687999964,0.4717999816,0.4651199937,0.44271999,0.4591999948,0.4529599905,0.4334799886,0.2297599971,0.1447999971,0.5057799965,0.4969799846,0.4576199919,0.2902919963,0.4961599857,0.2619759947,0.5319679976,0.4860079944
54,0.4777599871,0.472119993,0.4760399938,0.4735599935,0.4708799958,0.476759994,0.3761999965,0.2679199874,0.4734399974,0.4929199874,0.4663199902,0.4669999897,0.4690799892,0.4680399895,0.4490799904,0.2643999904,0.1716399997,0.5128199935,0.5057799935,0.4562999874,0.2934599921,0.4987199903,0.2697799981,0.5360399961,0.4868479967
55,0.4785199881,0.4804799914,0.4882399857,0.4797199905,0.4909199893,0.4926399946,0.3983199954,0.27852,0.4868799925,0.4961599827,0.485439992,0.474119997,0.4657999873,0.4808399856,0.4550399899,0.276639998,0.1724399954,0.521999985,0.5068999857,0.4714999914,0.3387799919,0.5101599932,0.307919994,0.5340719938,0.4952799976
