/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-20_tb.csv,row_average
1.6241834163665771,1.7143718004226685,1.7411288022994995,1.593555927276611,1.714147686958313,1.677477526664734
1.6014444828033447,1.6461737155914309,1.7636001110076904,1.591464638710022,1.7471834421157837,1.6699732780456542
1.6802250146865845,1.7102185487747192,1.668743133544922,1.616883635520935,1.681307315826416,1.6714755296707153
1.6499533653259275,1.6641916036605835,1.6989251375198364,1.700367450714111,1.7401384115219116,1.6907151937484741
1.6338943243026731,1.6769999265670776,1.6967260837554932,1.5763131380081177,1.67871356010437,1.6525294065475464
1.599061369895935,1.8037587404251096,1.6660473346710205,1.63673734664917,1.7118451595306396,1.683489990234375
1.6416292190551758,1.6612393856048584,1.6691149473190308,1.6110621690750122,1.6760354042053225,1.65181622505188
1.683474898338318,1.697067141532898,1.7093170881271362,1.596411943435669,1.6721547842025757,1.6716851711273193
1.6682087182998655,1.6829767227172852,1.7229284048080444,1.712075114250183,1.685067892074585,1.6942513704299926
1.680190920829773,1.7359609603881836,1.728832125663757,1.627518892288208,1.6888573169708252,1.6922720432281495
1.6998811960220337,1.6953483819961548,1.7287296056747437,1.629968762397766,1.7196649312973022,1.6947185754776002
1.6835792064666748,1.6947890520095823,1.7532782554626465,1.611128568649292,1.6852396726608276,1.6856029510498047
1.7016034126281738,1.7038381099700928,1.7092541456222534,1.6266279220581057,1.6944223642349243,1.6871491909027099
1.67667555809021,1.7218776941299438,1.72692608833313,1.6372036933898926,1.709872484207153,1.694511103630066
1.679274082183838,1.678943157196045,1.7767736911773682,1.5957508087158203,1.6976855993270874,1.6856854677200317
1.6996291875839231,1.759033203125,1.7479313611984253,1.6247427463531494,1.730002999305725,1.7122678995132445
1.7031570672988892,1.7024900913238523,1.7924201488494873,1.6034281253814695,1.6981881856918335,1.6999367237091065
1.6963582038879397,1.740367770195007,1.7431294918060305,1.6047316789627075,1.72054922580719,1.701027274131775
1.7192587852478027,1.7285698652267456,1.7500710487365725,1.6427699327468872,1.7113089561462402,1.7103957176208495
1.7081407308578491,1.705892562866211,1.7464916706085205,1.6388784646987915,1.6906238794326782,1.69800546169281
1.7277371883392334,1.7278940677642822,1.7482385635375977,1.6360397338867188,1.7403587102890017,1.7160536527633667
